n_genres,n_platforms,n_tags,release_year,is_top_genre_1,is_top_genre_2,is_top_genre_3,is_top_genre_4,is_top_genre_5,is_top_platform_1,is_top_platform_2,is_top_platform_3,is_top_platform_4,is_top_platform_5,is_top_tag_1,is_top_tag_2,is_top_tag_3,is_top_tag_4,is_top_tag_5,is_optimal_duration,playtime,success_category,name
1,1,2,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,high_success,WipEout Omega Collection
3,4,6,2016.0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,3,low_success,HeartZ: Co-Hope Puzzles
2,6,43,2017.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,6,high_success,Destiny 2
1,4,13,2017.0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,8,high_success,Final Fantasy XII: The Zodiac Age
2,4,21,2017.0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,4,high_success,Crash Bandicoot N. Sane Trilogy
2,4,6,2017.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,high_success,The Elder Scrolls Online: Morrowind
3,3,24,2015.0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,7,high_success,TEKKEN 7
3,2,12,2016.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3,moderate_success,Star Trek: Bridge Crew
1,5,11,2017.0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,6,high_success,Injustice 2
3,3,23,2017.0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,10,high_success,Prey
4,4,12,2017.0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,2,high_success,GNOG
3,5,19,2017.0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,3,high_success,Little Nightmares
2,5,17,2017.0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,3,high_success,What Remains of Edith Finch
1,7,13,2017.0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,3,high_success,Full Throttle Remastered
1,3,14,2017.0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,2,high_success,The Disney Afternoon Collection
2,3,16,2017.0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,5,moderate_success,Cosmic Star Heroine
1,1,2,2017.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,StarBlood Arena
4,6,30,2017.0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,4,moderate_success,Yooka-Laylee
3,1,1,2017.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,high_success,PaRappa The Rapper: Remastered
3,2,11,2016.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,105,high_success,Persona 5
3,3,18,2011.0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,low_success,APB Reloaded
1,1,6,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,Deer Simulator
6,9,17,2016.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,5,high_success,Punch Club
3,3,5,2017.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,3,low_success,SkyKeepers
3,8,8,2013.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,4,high_success,The Inner World
2,3,10,2014.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,low_success,Shred It!
3,2,6,2016.0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,3,low_success,WONDER BOY RETURNS
3,5,9,2015.0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,5,low_success,Anoxemia
3,1,8,2017.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Wolf of the Battlefield: Commando MOBILE
1,2,5,2016.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,3,moderate_success,Fated: The Silent Oath
3,5,6,2014.0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,4,low_success,Dawn of the Plow
4,4,8,2017.0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,4,moderate_success,Has-Been Heroes
3,2,5,2012.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Inferno+
4,3,20,2016.0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,6,moderate_success,Heroes of the Monkey Tavern
3,6,7,2016.0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,low_success,Horse Racing 2016
2,3,4,2017.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,high_success,KINGDOM HEARTS HD 1.5 +2.5 ReMIX
2,1,10,2017.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,Korix
2,5,5,2014.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,low_success,R.B.I. Baseball 14
1,1,4,2017.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,high_success,MLB The Show 17
2,1,3,2014.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Perfect Paths
2,1,18,2014.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,SXPD: Extreme Pursuit Force. The Comic Book Game Hybrid
2,1,8,2016.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Exploding Kittens - The Official Game
1,2,9,2017.0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,2,low_success,Old Time Hockey
2,1,4,2010.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Spirit for iPad
2,1,8,2017.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Dungeon Defense: The Invasion of Heroes
4,3,20,2017.0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,high_success,Rain World
1,5,4,2017.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,low_success,R.B.I. Baseball 17
2,3,4,2016.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,low_success,Active Soccer 2 DX
2,1,7,2011.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,STREET FIGHTER IV VOLT
4,7,22,2016.0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,3,high_success,Salt and Sanctuary
3,4,17,2013.0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,5,high_success,Geometry Dash
4,3,7,2014.0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,2,low_success,Wayward Souls
2,1,20,2011.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Bug Heroes
2,1,16,2010.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,100 Rogues
2,1,14,2012.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Puzzle & Dragons (English)
2,2,15,2013.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,moderate_success,Dungeon Hunter 4
4,2,7,2011.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,low_success,Bike Baron
5,4,14,2017.0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,3,moderate_success,Snake Pass
2,1,3,2015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Land Sliders
2,6,22,2017.0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,5,moderate_success,Vikings - Wolves of Midgard
3,2,8,2012.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,42,high_success,Subway Surfers
3,1,13,2012.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Trigger Fist
4,5,14,2016.0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,3,moderate_success,We Are The Dwarves
3,1,2,2010.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Tilt to Live
2,2,10,2011.0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,6,low_success,RAVENMARK: Scourge of Estellion
1,1,4,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,FATAL FURY BATTLE ARCHIVES VOL.2
2,3,22,2015.0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,7,high_success,Mortal Kombat X
3,1,9,2011.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Tiny Wings
4,5,8,2017.0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,4,high_success,88 Heroes
4,4,37,2015.0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,moderate_success,Forgotten Memories: Remastered Edition
1,1,10,2010.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Solomon's Keep
3,1,15,2013.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Football Heroes 2015
1,4,18,2017.0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,6,high_success,Zero Escape: The Nonary Games
3,2,14,2011.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,SHADOWGUN
2,2,3,2014.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Terra Battle
3,2,6,2016.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Tennis Champs Returns
3,6,20,2017.0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,2,moderate_success,Kona
4,8,22,2016.0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,6,high_success,This is the Police
2,5,18,2015.0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,3,low_success,Color Symphony 2
1,1,2,2017.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,low_success,Death Tales Beta
3,5,17,2012.0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,moderate_success,Super Crate Box
5,8,11,2016.0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,3,high_success,Sky Force Reloaded
4,5,26,2017.0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,2,high_success,Everything
2,3,12,2012.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,The World Ends with You: Solo Remix
2,2,11,2015.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Demon's Rise
3,6,22,2014.0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,4,high_success,Freedom Planet
3,2,10,2012.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Summoner Wars
3,1,8,2010.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Labyrinth 2 Lite
2,3,6,2017.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,23,moderate_success,Mass Effect: Andromeda
3,2,7,2016.0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,low_success,Rayon Riddles - Rise of the Goblin King
3,2,8,2014.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Sky Force 2014
3,4,4,2014.0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,5,low_success,Royal Defense
2,1,20,2016.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Nimian Legends: BrightRidge HD
3,1,2,2012.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Pinball Arcade Plus
3,8,10,2012.0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,low_success,Pinball Arcade
3,3,24,2017.0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,2,low_success,Touhou Double Focus
2,1,9,2014.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,"Finder's Keep: The Dungeon-Crawling, Monster-Battling, Loot-Collecting RPG!"
1,2,3,2015.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,low_success,Touhou Genso Wanderer
3,4,12,2013.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,low_success,Block Fortress
2,2,12,2015.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,FINAL FANTASY Record Keeper
4,5,10,2013.0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2,moderate_success,Ethan: Meteor Hunter
1,3,7,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,low_success,ACA NEOGEO SENGOKU
2,1,15,2013.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,moderate_success,Gangstar Vegas
2,2,11,2010.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Real Racing 2
5,6,15,2013.0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,3,moderate_success,Junk Jack
4,4,23,2016.0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,3,high_success,Momodora: Reverie Under the Moonlight
1,2,3,2014.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Tiny Tower Vegas
5,4,13,2016.0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,7,moderate_success,Planar Conquest
2,2,16,2017.0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,2,high_success,CHAOS CODE -NEW SIGN OF CATASTROPHE
4,6,18,2016.0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,5,high_success,Crashlands
4,8,5,2015.0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,4,low_success,Blue-Collar Astronaut
2,1,3,2013.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Pocket Trains - Railroad Empire Building
2,1,8,2011.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Bullet Time HD
2,1,8,2015.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Rise of Heroes
3,3,15,2010.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Galaxy on Fire 2 HD
1,1,8,2017.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moderate_success,Danganronpa 1•2 Reload
3,6,29,2017.0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,3,moderate_success,Death Squared
2,1,16,2013.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Infinity Blade III
4,7,4,2012.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,low_success,Ravensword: Shadowlands
2,2,9,2014.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Seabeard
2,2,11,2014.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,high_success,Spider-Man Unlimited
2,2,14,2010.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Super QuickHook
2,4,11,2014.0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,9,high_success,Hearthstone
2,4,10,2017.0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,7,low_success,Eekeemoo - Splinters of The Dark Shard
2,3,8,2015.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Chaos Rings III
3,2,4,2012.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Punch Quest
4,2,4,2016.0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,5,low_success,Leave the Nest
4,6,29,2016.0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,3,moderate_success,NeuroVoider
2,2,12,2010.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,moderate_success,Modern Combat 2: Black Pegasus
2,1,15,2012.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Dragon Island Blue
2,5,14,2016.0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,6,low_success,Siralim 2
4,4,6,2011.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,5,high_success,Jetpack Joyride
2,2,15,2011.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,Battleheart
3,5,7,2010.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,high_success,Fruit Ninja Classic
2,3,24,2017.0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,3,moderate_success,Styx: Shards of Darkness
2,1,17,2010.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,high_success,Infinity Blade
3,1,11,2012.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Minigore 2: Zombies
4,4,20,2015.0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,3,moderate_success,Trove
2,1,12,2011.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,high_success,Infinity Blade II
2,1,15,2012.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Happy Street - Free Town Building with Animals
2,3,10,2017.0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,3,moderate_success,2Dark
2,2,12,2014.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Bug Heroes 2
6,6,22,2015.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,9,moderate_success,Clicker Heroes
4,4,2,2014.0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,low_success,Battleheart Legacy
2,1,14,2010.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Aralon: Sword and Shadow
2,2,4,2017.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,moderate_success,Darknet
2,2,18,2012.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,moderate_success,DEAD TRIGGER
2,3,9,2016.0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,low_success,Dino Dini's Kick Off Revival
2,2,11,2015.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,moderate_success,MARVEL Future Fight
4,7,14,2013.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,high_success,Injustice: Gods Among Us
2,2,8,2012.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,high_success,Plague Inc.
2,2,18,2011.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Order & Chaos Online - Fantasy 3D MMORPG
3,3,7,2017.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,moderate_success,Disc Jam
4,3,10,2014.0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,moderate_success,METAL SLUG DEFENSE
2,1,4,2011.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Tiny Tower - Free City Building
1,4,3,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moderate_success,Gem Smashers (2017)
2,2,19,2015.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Heroes and Castles 2
2,3,6,2015.0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,low_success,"Warhammer 40,000: Deathwatch - Tyranid Invasion"
2,1,4,2010.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Pocket Frogs - Free pet farming
4,8,14,2013.0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,4,moderate_success,Warhammer Quest
7,3,42,2011.0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,2,high_success,Ascension: Deckbuilding Game
4,2,15,2013.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Pixel People
1,4,23,2017.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,3,moderate_success,LEGO Worlds
2,1,10,2011.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Doodle Army 2: Mini Militia - Online Multiplayer
2,2,12,2013.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,high_success,Real Racing 3
3,2,8,2017.0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,4,low_success,Loot Rascals
2,3,13,2013.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,low_success,Heroes and Castles
2,2,14,2012.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,moderate_success,Modern Combat 4: Zero Hour
2,4,22,2017.0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,3,high_success,Shift Happens
2,3,13,2011.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,moderate_success,Modern Combat 3: Fallen Nation
2,1,13,2012.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Star Warfare:Alien Invasion
3,4,11,2013.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,12,high_success,Asphalt 8: Airborne
2,1,7,2012.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Pocket Planes - Airline Management
3,3,19,2016.0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,low_success,Bullet Hell Monday
5,9,26,2016.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,3,moderate_success,Neon Chrome
1,1,8,2017.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,Unearthing Mars
2,10,24,2014.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,31,high_success,The Binding of Isaac: Rebirth
3,4,6,2017.0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,6,moderate_success,Sonny
2,1,14,2017.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Highway Getaway: Chase TV
2,1,16,2017.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Catomic: Space Cats and Atomic Owls!
1,3,4,2017.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,low_success,ACA NEOGEO NAM-1975
2,2,7,2017.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Retro Soccer - Arcade Football Game
1,2,8,2016.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,moderate_success,A KING'S TALE: FINAL FANTASY XV
2,1,18,2017.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Creature Quest
2,2,12,2017.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,RPG Djinn Caster
1,1,6,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,DYING: Reborn PSVR
3,1,9,2017.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,MUL.MASH.TAB.BA.GAL.GAL
2,1,5,2017.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Last Planets
1,1,10,2017.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Terra Tank
1,2,4,2017.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,low_success,DYNASTY WARRIORS: Godseekers
2,1,11,2015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,BMO Snaps - Adventure Time Photo Game
3,2,13,2016.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Vikings: an Archer's Journey
2,1,17,2016.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Demon's Rise 2: Lords of Chaos
3,8,6,2017.0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,3,moderate_success,forma.8
3,2,17,2016.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Party Hard Go
5,8,21,2015.0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,4,high_success,Kingdom: New Lands
1,2,9,2017.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,TypeShift
2,1,6,2017.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Planet Flip
3,7,9,2014.0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,5,high_success,Grim Legends: The Forsaken Bride
2,1,2,2017.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,low_success,Mergimals
